´Á¼Æ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
115012498,,,,4,,,7,,,,,,,14,,,17,18,19,,,,,,,26,,,,30,,,,,,36,37,,,,,,,,,,,,,,,,53,54,,,57,,,60,,,63,,,66,67,,,,71,,,,,76,,78,,
115012497,,,,,,,7,,,,,12,,,,16,17,18,19,,21,,,,,,,,,30,,,,,,36,,,39,,41,,,44,,,47,,49,,,,,,,,57,58,,,,,,,,,,68,,,71,,,,,76,77,,,
115012496,,2,,,,,,,,,,,13,14,,,,,,,,,,24,25,26,,,29,30,,,,,,36,,,,40,,,,,45,46,47,,,,,,,,55,56,,,,,,,63,64,,66,,,,,,,,,75,76,,,,
115012495,,,,,,6,,,,10,11,,13,,15,,,18,,,,22,23,,,,,,29,,31,,,,,,,,,,,42,43,44,45,,,,,,,,53,,55,,,,59,,,,,,,,,,,,,72,,,75,,,,,80
115012494,,2,3,,,,,8,,,,,,,,,,,,20,,22,23,,,,27,,,,,,33,,,,,,,40,,,,44,,46,,,49,,,,,54,,,,,,60,,,63,,,,,,69,,71,,,74,75,,,78,,
115012493,,2,3,,,,7,8,,,,12,,,,16,,,19,,,,23,,,26,,,,30,,,,,,,37,38,,,,42,43,,,,,,,50,,,,,55,,57,,,,,,63,,,,,,,70,,,,,,,77,,,
115012492,,,,4,,,,,,,11,,13,,15,16,17,,,,,,,,,,27,28,,,,,,,35,36,,38,,,,,,,,,,48,,,,,53,54,,,,58,,,,62,,,,,,,69,,71,,,74,,,,,79,
115012491,,2,,,5,,7,8,,,,,,,,,,,,,,,,24,,,,,,,31,32,,,35,36,,,,,,,,,45,,,,,,51,52,,,55,,57,,,,,62,,64,65,,,,,,,,,74,,,77,,79,
115012490,1,2,3,,,6,,,9,10,,,,,,16,,,,,,,,,,26,,,,,,,,,35,,,38,,,,,,,45,,,,49,,,,,,,,57,,,,,62,63,64,,,,,,,,72,,,,76,,,79,80
115012489,,,,,,,,8,,10,,,13,,,,,18,19,,21,,23,,,,,,,,31,,,,,36,,,,,,,,,,,47,48,,,51,52,53,,,56,,,59,,61,,,,,,,,69,,,,,74,75,,,,,
115012488,,,3,,,,,,9,,,12,13,,,,17,18,,20,21,,23,,,,,28,29,,,,,,,,,38,,,,42,,,,,,,49,,,52,,54,,,57,,,60,61,,,,,,,,,,,,,,,76,,,,
115012487,,,,,,,,,,,11,,,,,,,18,,,,,,,,,27,28,,30,,,,34,,,37,,,,41,42,,44,,,,48,49,,,,53,,,,,58,,,61,,,,,66,67,,,,,,,,,76,,78,,80
115012486,1,,,,5,,7,,,,11,,,,,16,,,19,,21,,,,,,,,29,,,,,,,,,38,,,,42,,44,45,46,,48,,,,,,,,,,58,,,,,,,,66,,,,,71,,,,75,76,,,,80
115012485,1,,,,,6,,,,,11,,,14,15,,17,,,,,,,,25,,,,,,,32,,,,,,,39,,,,,44,45,,47,48,49,,,52,,,,,57,,59,,,,,64,,,,,69,,71,,,,,,,,,
115012484,,,3,4,,,,,,,,12,,,,,,18,,,,22,,,25,,,,29,,,,33,,,,,38,,,41,,,,45,,,48,49,,,,,,55,,57,,,,61,62,,64,,,,68,,,,,,,,76,,,,
115012483,,,,,,,,,,10,,12,13,,15,,,18,,20,,,,,,26,27,,,,31,,33,,,,,,,,,,43,44,,,47,,49,,51,52,,,,,,58,,,,62,,,,,,,,,,,,,,,,,79,80
115012482,,,,,,,,,9,,,,,,,,,,,,21,,23,24,,,,,,30,,32,,34,,,,38,39,,41,,,,45,,,,,,51,52,53,,,,,,,,,,,64,65,,,68,69,,,,,,75,,,,79,
